Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount_Dependency,Discount_Risk_Profile,eCLV,Engagement_Score
68,45,1,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,3,2,High Risk (Bargain Hunter),132,5
69,57,1,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,1,Next Day Air,1,1,21,Cash,4,2,High Risk (Bargain Hunter),230,3
70,48,1,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,1,Express,1,1,5,Cash,1,2,Heavy Discounter,140,4
71,22,1,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,1,Express,1,1,32,Debit Card,4,2,High Risk (Bargain Hunter),145,5
72,36,1,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,1,Express,1,1,34,Bank Transfer,5,2,High Risk (Bargain Hunter),288,3
73,18,1,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,4,2,High Risk (Bargain Hunter),130,3
74,48,1,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,2,2,Heavy Discounter,255,5
75,49,1,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,1,Express,1,1,3,Cash,3,2,High Risk (Bargain Hunter),232,2
76,64,1,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,5,2,Heavy Discounter,510,3
77,50,1,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,1,Free Shipping,1,1,32,Venmo,3,2,High Risk (Bargain Hunter),172,5
78,22,1,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,2,2,High Risk (Bargain Hunter),159,5
79,50,1,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,1,1,50,Venmo,2,2,Heavy Discounter,273,7
80,38,1,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,4,2,Heavy Discounter,480,3
81,19,1,Sandals,Footwear,72,New York,XL,Blue,Summer,Unengaged,1,Store Pickup,1,1,24,Credit Card,4,2,Heavy Discounter,360,3
82,67,1,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,1,Express,1,1,36,Credit Card,4,2,Heavy Discounter,480,3
83,19,1,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,1,2-Day Shipping,1,1,21,Credit Card,4,2,High Risk (Bargain Hunter),140,5
84,36,1,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,1,Standard,1,1,34,Bank Transfer,1,2,High Risk (Bargain Hunter),80,7
85,52,1,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,1,Standard,1,1,42,Bank Transfer,4,2,High Risk (Bargain Hunter),160,5
86,53,1,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,2,2,Heavy Discounter,285,4
87,24,1,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,2,2,High Risk (Bargain Hunter),123,5
88,52,1,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,2,2,High Risk (Bargain Hunter),159,5
89,33,1,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,3,2,High Risk (Bargain Hunter),188,3
90,47,1,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,1,Next Day Air,1,1,15,Cash,4,2,Heavy Discounter,415,0
91,25,1,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,1,Express,1,1,29,Credit Card,3,2,High Risk (Bargain Hunter),192,3
92,44,1,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,1,Standard,1,1,18,Credit Card,4,2,Heavy Discounter,495,5
93,61,1,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,1,2-Day Shipping,1,1,13,Venmo,4,2,Heavy Discounter,435,2
94,37,1,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,1,Standard,1,1,46,Credit Card,1,2,Heavy Discounter,124,7
95,58,1,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,1,Free Shipping,1,1,28,Credit Card,1,2,Heavy Discounter,152,7
96,37,1,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,1,Free Shipping,1,1,48,PayPal,3,2,Heavy Discounter,400,3
97,32,1,Gloves,Accessories,73,Delaware,S,Gold,Spring,Unengaged,1,Express,1,1,43,Venmo,4,2,Heavy Discounter,365,3
98,21,1,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,1,Store Pickup,1,1,37,Cash,5,2,Heavy Discounter,552,5
99,20,1,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,1,Next Day Air,1,1,20,Bank Transfer,5,2,Heavy Discounter,402,3
100,26,1,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,1,Express,1,1,33,Debit Card,4,2,High Risk (Bargain Hunter),200,3
101,62,1,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,1,Express,1,1,31,Cash,2,2,Heavy Discounter,294,5
102,27,1,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,1,Express,1,1,50,Credit Card,2,2,Heavy Discounter,255,7
103,51,1,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,1,Next Day Air,1,1,35,Credit Card,4,2,Heavy Discounter,335,5
104,54,1,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,1,Next Day Air,1,1,22,Venmo,2,2,Heavy Discounter,267,7
105,55,1,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,1,2-Day Shipping,1,1,1,PayPal,3,2,High Risk (Bargain Hunter),96,2
106,69,1,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,1,Next Day Air,1,1,4,Bank Transfer,5,2,Heavy Discounter,576,0
107,64,1,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,1,Standard,1,1,31,Credit Card,3,2,High Risk (Bargain Hunter),140,3
108,28,1,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,1,Next Day Air,1,1,46,PayPal,2,2,Heavy Discounter,201,5
109,70,1,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,1,Next Day Air,1,1,32,Bank Transfer,2,2,Heavy Discounter,237,5
110,58,1,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,1,Next Day Air,1,1,43,Bank Transfer,2,2,Heavy Discounter,255,5
111,56,1,Backpack,Accessories,26,New York,M,Black,Summer,4.0,1,Standard,1,1,26,Venmo,2,2,High Risk (Bargain Hunter),78,7
112,26,1,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,1,Free Shipping,1,1,9,Credit Card,5,2,Heavy Discounter,450,2
113,37,1,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,1,Free Shipping,1,1,28,PayPal,2,2,Heavy Discounter,195,7
114,44,1,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,1,Next Day Air,1,1,20,PayPal,4,2,High Risk (Bargain Hunter),270,3
115,70,1,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,1,Store Pickup,1,1,9,Cash,1,2,Heavy Discounter,190,2
116,53,1,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,1,Standard,1,1,48,Debit Card,4,2,Heavy Discounter,470,3
117,55,1,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,1,Free Shipping,1,1,12,Venmo,5,2,Heavy Discounter,516,0
118,50,1,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,1,Express,1,1,29,Cash,2,2,High Risk (Bargain Hunter),96,7
119,50,1,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,1,2-Day Shipping,1,1,27,Cash,2,2,High Risk (Bargain Hunter),135,7
120,38,1,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,1,Express,1,1,44,Cash,5,2,Heavy Discounter,456,5
121,64,1,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,1,Express,1,1,32,Bank Transfer,5,2,Heavy Discounter,504,5
122,19,1,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,1,Standard,1,1,11,Cash,2,2,Heavy Discounter,216,4
123,40,1,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,1,2-Day Shipping,1,1,44,Cash,2,2,High Risk (Bargain Hunter),120,7
124,57,1,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,1,Free Shipping,1,1,46,Cash,1,2,Heavy Discounter,178,5
125,44,1,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,1,Next Day Air,1,1,50,PayPal,5,2,Heavy Discounter,516,3
126,49,1,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,1,Next Day Air,1,1,45,Venmo,4,2,High Risk (Bargain Hunter),270,3
127,43,1,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,1,Store Pickup,1,1,48,Cash,4,2,High Risk (Bargain Hunter),180,3
128,24,1,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,1,Next Day Air,1,1,26,Credit Card,1,2,Heavy Discounter,178,7
129,20,1,Scarf,Accessories,32,California,M,Gold,Spring,4.7,1,Standard,1,1,21,Credit Card,2,2,High Risk (Bargain Hunter),96,7
130,24,1,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,1,2-Day Shipping,1,1,49,PayPal,2,2,Heavy Discounter,201,7
131,44,1,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,1,Next Day Air,1,1,13,PayPal,2,2,High Risk (Bargain Hunter),117,2
132,28,1,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,1,Standard,1,1,46,Credit Card,1,2,High Risk (Bargain Hunter),58,5
133,30,1,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,1,2-Day Shipping,1,1,42,PayPal,1,2,High Risk (Bargain Hunter),116,7
134,52,1,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,1,Next Day Air,1,1,25,Venmo,5,2,Heavy Discounter,390,3
135,43,1,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,1,Store Pickup,1,1,25,Cash,3,2,Heavy Discounter,376,5
136,43,1,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,1,Express,1,1,12,PayPal,4,2,Heavy Discounter,405,2
137,39,1,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,1,Free Shipping,1,1,4,Debit Card,4,2,Heavy Discounter,430,0
138,68,1,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,1,Free Shipping,1,1,38,PayPal,1,2,High Risk (Bargain Hunter),86,7
139,68,1,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,1,Store Pickup,1,1,42,Bank Transfer,1,2,High Risk (Bargain Hunter),58,7
140,49,1,Coat,Outerwear,95,Florida,M,White,Fall,3.8,1,Store Pickup,1,1,30,Venmo,5,2,Heavy Discounter,570,3
141,63,1,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,1,2-Day Shipping,1,1,50,Credit Card,1,2,High Risk (Bargain Hunter),56,5
142,56,1,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,1,Free Shipping,1,1,45,PayPal,1,2,High Risk (Bargain Hunter),92,7
143,37,1,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,1,Free Shipping,1,1,33,Credit Card,2,2,High Risk (Bargain Hunter),174,5
144,30,1,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,1,Store Pickup,1,1,25,PayPal,4,2,High Risk (Bargain Hunter),240,3
145,19,1,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,1,Express,1,1,25,Cash,3,2,High Risk (Bargain Hunter),172,3
146,24,1,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,1,Standard,1,1,44,Debit Card,4,2,Heavy Discounter,475,5
147,52,1,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,1,Standard,1,1,21,Venmo,2,2,High Risk (Bargain Hunter),90,7
148,63,1,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,1,2-Day Shipping,1,1,31,Bank Transfer,2,2,Heavy Discounter,192,5
149,37,1,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,1,Store Pickup,1,1,47,Debit Card,5,2,Heavy Discounter,540,3
150,38,1,Pants,Clothing,76,Delaware,M,White,Summer,3.2,1,Free Shipping,1,1,14,PayPal,3,2,Heavy Discounter,304,0
151,35,1,Boots,Footwear,96,California,L,Cyan,Fall,4.9,1,Standard,1,1,17,Debit Card,4,2,Heavy Discounter,480,5
152,28,1,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,1,Next Day Air,1,1,3,Venmo,5,2,High Risk (Bargain Hunter),282,2
153,30,1,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,1,Express,1,1,42,Venmo,5,2,Heavy Discounter,510,5
154,69,1,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,1,Standard,1,1,22,Debit Card,5,2,High Risk (Bargain Hunter),330,3
155,41,1,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,1,Next Day Air,1,1,21,Venmo,4,2,Heavy Discounter,490,3
156,63,1,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,1,Free Shipping,1,1,21,Bank Transfer,4,2,Heavy Discounter,385,5
157,35,1,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,1,Standard,1,1,40,Debit Card,5,2,High Risk (Bargain Hunter),156,5
158,36,1,Hat,Accessories,68,Vermont,S,Yellow,Fall,3.0,1,Next Day Air,1,1,1,Bank Transfer,2,2,Heavy Discounter,204,2
159,25,1,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,1,Standard,1,1,50,Bank Transfer,3,2,Heavy Discounter,292,5
160,58,1,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,1,Store Pickup,1,1,39,Bank Transfer,4,2,High Risk (Bargain Hunter),135,3
161,27,1,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,1,Free Shipping,1,1,34,Venmo,3,2,High Risk (Bargain Hunter),92,5
162,65,1,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,1,Express,1,1,29,Venmo,2,2,High Risk (Bargain Hunter),147,5
163,54,1,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,1,Store Pickup,1,1,31,PayPal,2,2,Heavy Discounter,222,5
164,54,1,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,1,Standard,1,1,8,Debit Card,1,2,Heavy Discounter,134,2
165,59,1,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,1,Free Shipping,1,1,5,Credit Card,2,2,Heavy Discounter,195,2
166,42,1,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,1,Store Pickup,1,1,7,Cash,3,2,Heavy Discounter,240,0
167,46,1,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4.0,1,Store Pickup,1,1,30,Cash,3,2,High Risk (Bargain Hunter),124,5
168,33,1,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,1,Express,1,1,14,Credit Card,4,2,High Risk (Bargain Hunter),135,2
169,34,1,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,1,Express,1,1,5,Cash,2,2,Heavy Discounter,240,2
170,27,1,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,1,Standard,1,1,3,PayPal,4,2,High Risk (Bargain Hunter),150,0
171,52,1,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,1,Store Pickup,1,1,46,Venmo,2,2,High Risk (Bargain Hunter),75,5
172,29,1,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,1,Store Pickup,1,1,4,Credit Card,1,2,High Risk (Bargain Hunter),70,2
173,54,1,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,1,Next Day Air,1,1,42,Credit Card,2,2,Heavy Discounter,201,5
174,25,1,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,1,Standard,1,1,30,Cash,5,2,High Risk (Bargain Hunter),276,3
175,41,1,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,1,Express,1,1,37,Venmo,5,2,High Risk (Bargain Hunter),210,3
176,53,1,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,1,Next Day Air,1,1,2,Bank Transfer,5,2,Heavy Discounter,516,0
177,53,1,Backpack,Accessories,81,New Hampshire,L,Black,Spring,2.7,1,Next Day Air,1,1,30,Credit Card,4,2,Heavy Discounter,405,3
178,21,1,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,1,Next Day Air,1,1,47,Bank Transfer,3,2,High Risk (Bargain Hunter),168,3
